X,Y,OBJECTID,GIS_ID,NAME,WEB_URL,LABEL_NAME,DATELASTMODIFIED
-76.94888362,38.8918849,122,nhood_009,Benning,http://NeighborhoodAction.dc.gov,Benning,2003-04-10T00:00:00.000Z
-76.92063844,38.8927065,123,nhood_061,Grant Park,http://NeighborhoodAction.dc.gov,Grant Park,2003-04-10T00:00:00.000Z
-76.94227676,38.89703455,124,nhood_026,Central NE,http://NeighborhoodAction.dc.gov,Central NE,2003-04-10T00:00:00.000Z
-76.93109656,38.89580517,125,nhood_078,Lincoln Heights,http://NeighborhoodAction.dc.gov,Lincoln Heights,2003-04-10T00:00:00.000Z
-76.92708591,38.88997845,126,nhood_022,Capitol View,http://NeighborhoodAction.dc.gov,Capitol View,2003-04-10T00:00:00.000Z
-76.92912172,38.88437194,127,nhood_082,Marshall Heights,http://NeighborhoodAction.dc.gov,Marshall Heights,2003-04-10T00:00:00.000Z
-76.94466984,38.86890119,128,nhood_046,Fort Davis Park,http://NeighborhoodAction.dc.gov,Fort Davis Park,2003-04-10T00:00:00.000Z
-76.95163007,38.86345267,129,nhood_042,Fairfax Village,http://NeighborhoodAction.dc.gov,Fairfax Village,2003-04-10T00:00:00.000Z
-76.96068825,38.86179449,130,nhood_064,Hillcrest,http://NeighborhoodAction.dc.gov,Hillcrest,2003-04-10T00:00:00.000Z
-77.04109689,38.94332711,131,nhood_033,Crestwood,http://NeighborhoodAction.dc.gov,Crestwood,2003-04-10T00:00:00.000Z
-77.02331348,38.90433981,132,nhood_089,Mount Vernon Square,http://NeighborhoodAction.dc.gov,Mount Vernon Square,2003-04-10T00:00:00.000Z
