OBJECTID,TRACT,GEOID,ACRES,SQ_MILES,Shape_Length,Shape_Area,FAGI_TOTAL_2010,FAGI_MEDIAN_2010,FAGI_TOTAL_2013,FAGI_MEDIAN_2013,FAGI_TOTAL_2011,FAGI_MEDIAN_2011,FAGI_TOTAL_2012,FAGI_MEDIAN_2012,FAGI_TOTAL_2014,FAGI_MEDIAN_2014,FAGI_TOTAL_2015,FAGI_MEDIAN_2015
159,7809,11001007809,132.2389549,0.20662337,3874.359987,535152.0669,37559798.37,27390,41012846,24953,37380788,25825.5,39381158,25178,44647455,27046,48307774,28461
160,7901,11001007901,98.41517823,0.15377372,2551.393623,398272.0984,54104963,29975,68844302,31673,60769648,29766,65914144,30020.5,76444757,34692,85297510,37573
161,7903,11001007903,59.94389871,0.09366234,2170.9454,242584.3529,33231634,36257,41719677,39557,34946070,36732,38094648,36321.5,46326405,44633,53049430,47103
162,8001,11001008001,80.43091395,0.1256733,2400.602905,325492.3626,100414811,60366,126560393,67249,113921738,63888,122354172,66117.5,130054316,70322,144770934,75309.5
163,8002,11001008002,142.8506356,0.22320412,3883.368027,578096.0156,121769571,67000.5,162596832,72447,142225876,68264,160531068,70314,156077250.8,75659.5,173685028,80922
164,8100,11001008100,72.21812179,0.11284082,2331.345985,292256.3717,139606334,81428,168364052,72100,166143944,77408,167686490,77394,173483443,85914,194119047,90338
165,8200,11001008200,84.04524066,0.13132069,3038.867812,340119.024,117647812,70126.5,147633111,67792.5,142848043,69117.5,155157942,70452,143780010,77086,159931869,78676
166,8301,11001008301,75.10652056,0.11735394,2368.737543,303945.3069,100958815,79178,126739845,80765,117129497,71931,125316966,77114.5,137994779,83172.5,159487649,82900
167,8302,11001008302,64.46191668,0.10072175,2372.700178,260868.1231,98202439,75686,121676185,69139,115145078,72632,124644728,70932,122260480,77004.5,148237948,80862
168,8402,11001008402,66.30755803,0.10360556,2657.40565,268337.1687,64090679,50048,84827411,55894.5,76375227,50961,83894892,54722,78279904,59253,95344734,63150
169,8410,11001008410,54.39444927,0.08499133,2326.095337,220126.5277,41390921,46940,54787972,48372,47944604,46774,51016505,48283,60603534,55593,71052704,58733
170,9400,11001009400,393.0247235,0.61410113,5500.077285,1590514.636,111394852,48688,122069723,49363.5,112928463,48019,119206939,49071,135842841,51938.5,139399116,52796.5
171,9501,11001009501,393.9402587,0.61553166,6251.167008,1594219.675,54810127,28094,66633719.98,28334,60953895,28147,64279289,27023,62507127.54,27422.5,71687637,29720.5
172,9503,11001009503,351.7480803,0.54960638,5448.746349,1423473.986,103688476,55760,93340693.3,55128,91164685,52882,103746641,55310.5,108517270,56626.5,113767916,60025
173,9504,11001009504,253.5906496,0.39623539,4227.41219,1026244.955,69274045,43233,76802968,44206.5,72545466,41582,78335079,43487,83501617,44864.5,92795105,48695.5
174,9505,11001009505,254.6686584,0.39791978,4571.653132,1030607.502,69676775,42972,74524698,41734,69233046,41221,72487872,42196,94197523,45732,105022944,46330
175,9507,11001009507,72.81292728,0.1137702,2483.115055,294663.4642,35008824,38577.5,37021683,38410,34437488,36996,36555449,39274,39838674,38723,41834568.92,39851
176,9508,11001009508,231.9179867,0.36237186,5772.875428,938538.7995,67315108.95,38902,74438513.8,36844,70488991,37979,74847040,37529,76756174,38133.5,82172651,38670.5
177,9509,11001009509,159.553962,0.24930307,3306.197043,645691.9795,75556930,44708,83396856.4,45890,78005645,45617.5,80688699,44771,90266682,48269,94453371,50505
178,9601,11001009601,514.8501708,0.8044534,6716.549762,2083524.733,27940966,24949,31190145,22438,29485769,24312,29883780,22301,33222152,25221,34565858,27655
179,9602,11001009602,341.0055984,0.53282125,4742.071398,1380000.704,28881426,24409,34651347,23135.5,29422702,23832,32067205,22962.5,41181793,23438,45174162,25037
